epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.685,1.33146,2.83232,1.27693,0.00944,1,0.48986,0.2778,1.21408,2.80555,1.18612,0.00034,0.00034,0.00034
2,79.1691,1.15357,1.71982,1.14811,1,0.17356,0.47355,0.25247,1.09934,2.53628,1.25341,0.00068614,0.00068614,0.00068614
3,118.453,1.13458,1.517,1.11904,0.83731,0.15686,0.29807,0.0718,1.35552,2.98989,1.44049,0.00101802,0.00101802,0.00101802
4,157.95,1.06113,1.44269,1.09094,0.46866,0.32353,0.35121,0.21699,1.1878,2.32597,1.34148,0.00133565,0.00133565,0.00133565
5,197.933,1.09432,1.36464,1.12247,0.85701,0.58759,0.75492,0.48119,1.18709,1.82644,1.34665,0.00163902,0.00163902,0.00163902
6,245.409,1.07373,1.34003,1.09238,0.68887,0.65686,0.70205,0.37102,1.1838,1.75628,1.37433,0.001802,0.001802,0.001802
7,288.676,1.09327,1.36281,1.12767,0.3333,0.76471,0.47769,0.24011,1.28379,2.58068,1.52536,0.0017624,0.0017624,0.0017624
8,328.832,1.07564,1.31631,1.11906,0.32904,0.70588,0.36003,0.19807,1.29292,2.53175,1.39282,0.0017228,0.0017228,0.0017228
9,368.454,0.99037,1.28615,1.07029,0.39736,0.66583,0.44798,0.29424,1.16557,1.7813,1.35867,0.0016832,0.0016832,0.0016832
10,408.863,0.99547,1.19324,1.07837,0.57985,0.66301,0.6805,0.41549,1.30278,2.43086,1.59271,0.0016436,0.0016436,0.0016436
11,469.716,1.00936,1.19714,1.10723,0.5862,0.69443,0.73703,0.38863,1.44414,2.15982,1.74841,0.001604,0.001604,0.001604
12,509.661,1.07393,1.19511,1.13706,0.55314,0.71601,0.71866,0.47446,1.22599,2.1184,1.42556,0.0015644,0.0015644,0.0015644
13,549.849,0.99433,1.19152,1.07885,0.47513,0.85294,0.70729,0.48159,1.10035,2.37263,1.30106,0.0015248,0.0015248,0.0015248
14,593.425,0.938,1.10545,1.03718,0.59939,0.7549,0.73423,0.52009,1.06655,1.63728,1.27423,0.0014852,0.0014852,0.0014852
15,635.711,0.9878,1.07078,1.07667,0.66475,0.69984,0.74516,0.53094,1.10861,1.79447,1.29206,0.0014456,0.0014456,0.0014456
16,677.416,0.94456,1.04399,1.04561,0.5652,0.79412,0.67641,0.47584,1.0968,1.44225,1.2543,0.001406,0.001406,0.001406
17,716.517,0.91308,1.00525,1.03965,0.64879,0.67647,0.69021,0.49377,1.0583,1.4911,1.21943,0.0013664,0.0013664,0.0013664
18,756.828,0.95819,1.03158,1.05234,0.76393,0.67647,0.7759,0.56646,0.9727,1.42959,1.14536,0.0013268,0.0013268,0.0013268
19,799.774,0.94241,1.05408,1.07502,0.77261,0.63725,0.75342,0.56594,0.9694,1.33481,1.15466,0.0012872,0.0012872,0.0012872
20,839.935,0.86474,0.92244,1.0183,0.68823,0.62745,0.73934,0.55096,0.96728,1.38156,1.14296,0.0012476,0.0012476,0.0012476
21,882.146,0.87646,0.9617,1.04434,0.70772,0.66667,0.7122,0.48238,1.20487,1.38391,1.34138,0.001208,0.001208,0.001208
