epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2321,1.6867,3.5693,1.58848,0.01075,0.54136,0.15781,0.0869,1.49469,3.46681,1.64391,0.00013336,0.00013336,0.00013336
2,86.8145,1.45174,2.64751,1.42983,0.00966,0.59498,0.14292,0.0543,1.60415,3.47658,1.72139,0.000280584,0.000280584,0.000280584
3,128.976,1.33174,2.10033,1.35452,0.009,0.69485,0.07804,0.03032,1.59929,3.37251,1.7323,0.000424838,0.000424838,0.000424838
4,173.291,1.32255,1.97772,1.33614,0.01139,0.80331,0.02538,0.01013,1.70902,3.37488,1.77922,0.000566122,0.000566122,0.000566122
5,216.717,1.24779,1.83372,1.26863,0.01131,0.69087,0.0388,0.01493,1.73076,3.33273,1.91752,0.000704434,0.000704434,0.000704434
6,259.573,1.25646,1.90359,1.2992,0.01056,0.70159,0.01501,0.00768,1.70868,3.28255,1.81702,0.000839776,0.000839776,0.000839776
7,302.512,1.23492,1.80967,1.27031,0.33046,0.13379,0.14817,0.08494,1.97674,3.05127,1.95469,0.000972148,0.000972148,0.000972148
8,344.942,1.29728,1.83446,1.31956,0.036,0.12347,0.02847,0.0149,1.82307,3.14131,1.85586,0.00110155,0.00110155,0.00110155
9,387.905,1.23647,1.80583,1.27359,0.02841,0.07629,0.02807,0.01378,1.73784,3.14263,1.95088,0.00122798,0.00122798,0.00122798
10,431.087,1.18056,1.68452,1.23681,0.19511,0.19485,0.12959,0.06514,1.65103,2.55914,1.85783,0.00135144,0.00135144,0.00135144
11,472.636,1.19579,1.70602,1.29129,0.12516,0.19547,0.06038,0.01986,1.65829,3.04547,1.83123,0.00147193,0.00147193,0.00147193
12,512.988,1.24932,1.67249,1.25415,0.62122,0.19608,0.12644,0.05275,1.89889,2.71974,2.10613,0.00148546,0.00148546,0.00148546
